100 3055
1 83 93
2 31 41
3 85 95
4 69 79
5 33 43
6 88 98
7 97 107
8 43 53
9 11 21
10 20 30
11 82 92
12 82 92
13 60 70
14 28 38
15 87 97
16 84 94
17 26 36
18 75 85
19 55 65
20 38 48
21 15 25
22 44 54
23 55 65
24 2 12
25 57 67
26 20 30
27 2 12
28 6 16
29 50 60
30 17 27
31 70 80
32 57 67
33 12 22
34 99 109
35 77 87
36 38 48
37 68 78
38 83 93
39 1 11
40 75 85
41 38 48
42 73 83
43 59 69
44 21 31
45 30 40
46 94 104
47 44 54
48 9 19
49 2 12
50 43 53
51 11 21
52 49 59
53 96 106
54 90 100
55 40 50
56 55 65
57 78 88
58 4 14
59 73 83
60 21 31
61 50 60
62 93 103
63 68 78
64 27 37
65 31 41
66 69 79
67 60 70
68 22 32
69 38 48
70 90 100
71 50 60
72 72 82
73 39 49
74 48 58
75 72 82
76 22 32
77 76 86
78 20 30
79 91 101
80 88 98
81 24 34
82 66 76
83 100 110
84 42 52
85 53 63
86 29 39
87 34 44
88 45 55
89 74 84
90 17 27
91 5 15
92 59 69
93 65 75
94 97 107
95 73 83
96 19 29
97 38 48
98 49 59
99 90 100
100 50 60
